?covp	?covplab	?humanp	?humanplab	?humanp2	?humanplab2	id	TDL
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	IMPDH2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	IMPDH2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	NDUFB10^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	NDUFB10^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P03901	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	TOP1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	GLA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06280	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	TOP1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	TOP1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P11387	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	TBK1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	DPP4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P27487	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	IMPDH2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P12268	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	TBK1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	TBK1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	TBK1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:Q9UHD2	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	CIT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	Tbio
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	CIT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	Tbio
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	XPO1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	ABCC4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	Tbio
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	CIT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	Tbio
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	XPO1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	ABCC4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	Tbio
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	ABCC4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	Tbio
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	CIT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14578	Tbio
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	XPO1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	XPO1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O14980	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	ABCC4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O15439	Tbio
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	BRD4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	BRD4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	SLC25A12^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	Tbio
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	BRD4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	BRD4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O60885	Tchem
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	SLC25A12^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	Tbio
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	SLC25A12^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	Tbio
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	SLC25A12^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O75746	Tbio
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	NDUFAF1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	MT-CO2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	CHEK2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	Tchem
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	NDUFAF1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	LDHA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	CHEK2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	NDUFAF1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	PLAT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	NDUFAF1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O95299	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05023	ATP1A1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05023	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	LDHA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	LDHA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	Tchem
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	CHEK2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	CHEK2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:O96017	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	PLG^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	PLAT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	LDHA^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00338	Tchem
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	MT-CO2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	MT-CO2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	PLG^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	MT-CO2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00403	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	ALB^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05026	ATP1A2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05026	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	ALB^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P04406	GAPDH^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P04406	Tchem
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	PLG^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	PLG^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00747	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05556	ITGA4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05556	Tclin
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	PLAT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	PLAT^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P00750	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05026	ATP1A2^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05026	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05023	ATP1A1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05023	Tclin
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05556	ITGA4^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P05556	Tclin
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P04406	GAPDH^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P04406	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06493	CCNB1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06493	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06493	CCNB1^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06493	Tchem
<http://identifiers.org/uniprot/P0DTC1-PRO_0000449645>	nsp11^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/O75347>	tbca_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	ALB^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449623>	nsp5^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P07203>	gpx1_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	ALB^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P02768	Tchem
<http://identifiers.org/uniprot/P0DTC2>	S protein^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P35613>	basi_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06730	EIF4E^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06730	Tchem
<http://identifiers.org/uniprot/P0DTD1-PRO_0000449633>	nsp16^^<http://www.w3.org/2001/XMLSchema#string>	<http://identifiers.org/uniprot/P61158>	arp3_human^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06730	EIF4E^^<http://www.w3.org/2001/XMLSchema#string>	UniProtKB:P06730	Tchem
