id	name	category	TDL	provided_by
UniProtKB:Q9UBF8	PI4KB	biolink:Protein	Tchem	drug_central
UniProtKB:P47989	XDH	biolink:Protein	Tclin	drug_central
DrugCentral:90	adenosine	biolink:Drug		drug_central
UniProtKB:P30542	ADORA1	biolink:Protein	Tclin	drug_central
UniProtKB:P04406	GAPDH	biolink:Protein	Tchem	drug_central
UniProtKB:P29274	ADORA2A	biolink:Protein	Tclin	drug_central
UniProtKB:P00813	ADA	biolink:Protein	Tclin	drug_central
UniProtKB:P55263	ADK	biolink:Protein	Tchem	drug_central
UniProtKB:P23526	AHCY	biolink:Protein	Tchem	drug_central
UniProtKB:P0DMS8	ADORA3	biolink:Protein	Tchem	drug_central
DrugCentral:91	adenosine triphosphate	biolink:Drug		drug_central
UniProtKB:P51575	P2RX1	biolink:Protein	Tchem	drug_central
UniProtKB:Q99571	P2RX4	biolink:Protein	Tchem	drug_central
UniProtKB:P41231	P2RY2	biolink:Protein	Tclin	drug_central
UniProtKB:Q9BPV8	P2RY13	biolink:Protein	Tchem	drug_central
UniProtKB:Q8TD43	TRPM4	biolink:Protein	Tchem	drug_central
UniProtKB:P56373	P2RX3	biolink:Protein	Tchem	drug_central
UniProtKB:Q13304	GPR17	biolink:Protein	Tchem	drug_central
UniProtKB:Q12931	TRAP1	biolink:Protein	Tchem	drug_central
UniProtKB:Q96G91	P2RY11	biolink:Protein	Tbio	drug_central
UniProtKB:P49137	MAPKAPK2	biolink:Protein	Tchem	drug_central
UniProtKB:P51582	P2RY4	biolink:Protein	Tchem	drug_central
UniProtKB:P47900	P2RY1	biolink:Protein	Tchem	drug_central
UniProtKB:P11142	HSPA8	biolink:Protein	Tchem	drug_central
UniProtKB:P0DMV8	HSPA1A	biolink:Protein	Tchem	drug_central
DrugCentral:92	adenosine phosphate	biolink:Drug		drug_central
UniProtKB:P09467	FBP1	biolink:Protein	Tchem	drug_central
UniProtKB:P12931	SRC	biolink:Protein	Tclin	drug_central
UniProtKB:O94759	TRPM2	biolink:Protein	Tchem	drug_central
UniProtKB:P00338	LDHA	biolink:Protein	Tchem	drug_central
UniProtKB:O43598	DNPH1	biolink:Protein	Tchem	drug_central
DrugCentral:93	adinazolam	biolink:Drug		drug_central
UniProtKB:P30536	TSPO	biolink:Protein	Tchem	drug_central
UniProtKB:O14764	GABRA1	biolink:Protein	Tclin	drug_central
UniProtKB:P18505	GABRA3	biolink:Protein	Tclin	drug_central
UniProtKB:P31644	GABRA6	biolink:Protein	Tclin	drug_central
UniProtKB:P34903	GABRB1	biolink:Protein	Tclin	drug_central
UniProtKB:P47869	GABRB2	biolink:Protein	Tclin	drug_central
UniProtKB:P47870	GABRB3	biolink:Protein	Tclin	drug_central
UniProtKB:P48169	GABRD	biolink:Protein	Tclin	drug_central
UniProtKB:Q16445	GABRG1	biolink:Protein	Tclin	drug_central
UniProtKB:Q8N1C3	GABRG2	biolink:Protein	Tclin	drug_central
UniProtKB:Q99928	GABRG3	biolink:Protein	Tclin	drug_central
DrugCentral:99	agomelatine	biolink:Drug		drug_central
UniProtKB:P28335	HTR2C	biolink:Protein	Tclin	drug_central
UniProtKB:P28223	HTR2A	biolink:Protein	Tclin	drug_central
UniProtKB:P48039	MTNR1A	biolink:Protein	Tclin	drug_central
UniProtKB:P49286	MTNR1B	biolink:Protein	Tclin	drug_central
DrugCentral:100	ajmaline	biolink:Drug		drug_central
DrugCentral:101	alacepril	biolink:Drug		drug_central
DrugCentral:105	salbutamol	biolink:Drug		drug_central
DrugCentral:107	alclofenac	biolink:Drug		drug_central
DrugCentral:109	alcuronium	biolink:Drug		drug_central
UniProtKB:P30926	CHRNA4	biolink:Protein	Tclin	drug_central
UniProtKB:P02708	CHRNA1	biolink:Protein	Tclin	drug_central
UniProtKB:P11230	CHRNB1	biolink:Protein	Tclin	drug_central
UniProtKB:Q07001	CHRND	biolink:Protein	Tclin	drug_central
UniProtKB:Q15822	CHRNA2	biolink:Protein	Tchem	drug_central
DrugCentral:111	aldosterone	biolink:Drug		drug_central
UniProtKB:P04278	SHBG	biolink:Protein	Tchem	drug_central
UniProtKB:P08235	NR3C2	biolink:Protein	Tclin	drug_central
UniProtKB:P08185	SERPINA6	biolink:Protein	Tbio	drug_central
DrugCentral:112	alendronic acid	biolink:Drug		drug_central
UniProtKB:P14324	FDPS	biolink:Protein	Tclin	drug_central
DrugCentral:113	alexidine	biolink:Drug		drug_central
UniProtKB:Q9NR96	TLR9	biolink:Protein	Tclin	drug_central
DrugCentral:114	alfentanil	biolink:Drug		drug_central
UniProtKB:P35372	OPRM1	biolink:Protein	Tclin	drug_central
DrugCentral:115	alfuzosin	biolink:Drug		drug_central
UniProtKB:P25100	ADRA1D	biolink:Protein	Tclin	drug_central
UniProtKB:P35348	ADRA1A	biolink:Protein	Tclin	drug_central
UniProtKB:P35368	ADRA1B	biolink:Protein	Tclin	drug_central
DrugCentral:119	aliskiren	biolink:Drug		drug_central
UniProtKB:P00797	REN	biolink:Protein	Tclin	drug_central
UniProtKB:P08684	CYP3A4	biolink:Protein	Tclin	drug_central
DrugCentral:120	alizapride	biolink:Drug		drug_central
UniProtKB:P18825	ADRA2C	biolink:Protein	Tclin	drug_central
DrugCentral:124	allopurinol	biolink:Drug		drug_central
UniProtKB:P00492	HPRT1	biolink:Protein	Tchem	drug_central
DrugCentral:128	almotriptan	biolink:Drug		drug_central
UniProtKB:P30939	HTR1F	biolink:Protein	Tclin	drug_central
UniProtKB:P28221	HTR1D	biolink:Protein	Tclin	drug_central
UniProtKB:P28222	HTR1B	biolink:Protein	Tclin	drug_central
DrugCentral:129	alosetron	biolink:Drug		drug_central
DrugCentral:130	alfacalcidol	biolink:Drug		drug_central
UniProtKB:P23975	SLC6A2	biolink:Protein	Tclin	drug_central
UniProtKB:P11473	VDR	biolink:Protein	Tclin	drug_central
DrugCentral:133	alfaxalone	biolink:Drug		drug_central
UniProtKB:P30531	SLC6A1	biolink:Protein	Tclin	drug_central
DrugCentral:134	alpidem	biolink:Drug		drug_central
DrugCentral:136	alprazolam	biolink:Drug		drug_central
UniProtKB:P25105	PTAFR	biolink:Protein	Tchem	drug_central
UniProtKB:O60885	BRD4	biolink:Protein	Tchem	drug_central
DrugCentral:137	alprenolol	biolink:Drug		drug_central
UniProtKB:P13945	ADRB3	biolink:Protein	Tclin	drug_central
DrugCentral:138	alprostadil	biolink:Drug		drug_central
UniProtKB:Q7RTX7	CATSPER4	biolink:Protein	Tchem	drug_central
UniProtKB:Q86XQ3	CATSPER3	biolink:Protein	Tchem	drug_central
UniProtKB:Q8NEC5	CATSPER1	biolink:Protein	Tchem	drug_central
UniProtKB:Q96P56	CATSPER2	biolink:Protein	Tchem	drug_central
UniProtKB:P35408	PTGER4	biolink:Protein	Tclin	drug_central
UniProtKB:P43116	PTGER2	biolink:Protein	Tclin	drug_central
UniProtKB:P43115	PTGER3	biolink:Protein	Tclin	drug_central
UniProtKB:Q13258	PTGDR	biolink:Protein	Tclin	drug_central
UniProtKB:P43119	PTGIR	biolink:Protein	Tclin	drug_central
DrugCentral:141	altretamine	biolink:Drug		drug_central
DrugCentral:143	alvimopan	biolink:Drug		drug_central
UniProtKB:P41145	OPRK1	biolink:Protein	Tclin	drug_central
UniProtKB:P41143	OPRD1	biolink:Protein	Tclin	drug_central
DrugCentral:144	amantadine	biolink:Drug		drug_central
UniProtKB:Q99720	SIGMAR1	biolink:Protein	Tclin	drug_central
UniProtKB:Q96FL8	SLC47A1	biolink:Protein	Tchem	drug_central
DrugCentral:146	ambenonium	biolink:Drug		drug_central
DrugCentral:147	ambroxol	biolink:Drug		drug_central
UniProtKB:P31645	SLC6A4	biolink:Protein	Tclin	drug_central
UniProtKB:Q9Y5Y9	SCN10A	biolink:Protein	Tclin	drug_central
UniProtKB:P04062	GBA	biolink:Protein	Tclin	drug_central
DrugCentral:150	amcinonide	biolink:Drug		drug_central
UniProtKB:P04150	NR3C1	biolink:Protein	Tclin	drug_central
DrugCentral:156	amifostine	biolink:Drug		drug_central
UniProtKB:P05186	ALPL	biolink:Protein	Tchem	drug_central
UniProtKB:P35462	DRD3	biolink:Protein	Tclin	drug_central
DrugCentral:158	amiloride	biolink:Drug		drug_central
UniProtKB:Q16515	ASIC2	biolink:Protein	Tbio	drug_central
UniProtKB:P37088	SCNN1A	biolink:Protein	Tclin	drug_central
UniProtKB:P51168	SCNN1B	biolink:Protein	Tclin	drug_central
UniProtKB:P51170	SCNN1G	biolink:Protein	Tclin	drug_central
UniProtKB:P78348	ASIC1	biolink:Protein	Tchem	drug_central
UniProtKB:O15245	SLC22A1	biolink:Protein	Tchem	drug_central
UniProtKB:Q9UHC3	ASIC3	biolink:Protein	Tchem	drug_central
UniProtKB:P19634	SLC9A1	biolink:Protein	Tchem	drug_central
UniProtKB:P00749	PLAU	biolink:Protein	Tchem	drug_central
DrugCentral:163	aminocaproic acid	biolink:Drug		drug_central
UniProtKB:P00747	PLG	biolink:Protein	Tclin	drug_central
UniProtKB:P00750	PLAT	biolink:Protein	Tclin	drug_central
DrugCentral:164	aminoglutethimide	biolink:Drug		drug_central
UniProtKB:P11511	CYP19A1	biolink:Protein	Tclin	drug_central
UniProtKB:P24557	TBXAS1	biolink:Protein	Tchem	drug_central
UniProtKB:P05108	CYP11A1	biolink:Protein	Tclin	drug_central
DrugCentral:165	aminohippuric acid	biolink:Drug		drug_central
UniProtKB:Q4U2R8	SLC22A6	biolink:Protein	Tclin	drug_central
DrugCentral:171	aminophenazone	biolink:Drug		drug_central
DrugCentral:174	aminoquinuride	biolink:Drug		drug_central
UniProtKB:P14780	MMP9	biolink:Protein	Tchem	drug_central
UniProtKB:P03956	MMP1	biolink:Protein	Tclin	drug_central
DrugCentral:176	amiodarone	biolink:Drug		drug_central
UniProtKB:P21728	DRD1	biolink:Protein	Tclin	drug_central
UniProtKB:P50406	HTR6	biolink:Protein	Tchem	drug_central
UniProtKB:P18089	ADRA2B	biolink:Protein	Tclin	drug_central
UniProtKB:P25021	HRH2	biolink:Protein	Tclin	drug_central
UniProtKB:Q01959	SLC6A3	biolink:Protein	Tclin	drug_central
UniProtKB:P21917	DRD4	biolink:Protein	Tchem	drug_central
UniProtKB:P25101	EDNRA	biolink:Protein	Tclin	drug_central
UniProtKB:P06241	FYN	biolink:Protein	Tclin	drug_central
UniProtKB:P04626	ERBB2	biolink:Protein	Tclin	drug_central
UniProtKB:P41597	CCR2	biolink:Protein	Tchem	drug_central
UniProtKB:P21452	TACR2	biolink:Protein	Tchem	drug_central
UniProtKB:P30411	BDKRB2	biolink:Protein	Tclin	drug_central
UniProtKB:P32245	MC4R	biolink:Protein	Tclin	drug_central
UniProtKB:P33032	MC5R	biolink:Protein	Tchem	drug_central
UniProtKB:P41968	MC3R	biolink:Protein	Tchem	drug_central
UniProtKB:P51679	CCR4	biolink:Protein	Tclin	drug_central
UniProtKB:P08913	ADRA2A	biolink:Protein	Tclin	drug_central
UniProtKB:Q14524	SCN5A	biolink:Protein	Tclin	drug_central
UniProtKB:P10828	THRB	biolink:Protein	Tclin	drug_central
UniProtKB:P10827	THRA	biolink:Protein	Tclin	drug_central
UniProtKB:Q15125	EBP	biolink:Protein	Tchem	drug_central
UniProtKB:Q96RP8	KCNA7	biolink:Protein	Tclin	drug_central
UniProtKB:Q9Y3Q4	HCN4	biolink:Protein	Tclin	drug_central
UniProtKB:O95180	CACNA1H	biolink:Protein	Tclin	drug_central
UniProtKB:P11712	CYP2C9	biolink:Protein	Tchem	drug_central
UniProtKB:Q9NVV9	THAP1	biolink:Protein	Tbio	drug_central
UniProtKB:Q14534	SQLE	biolink:Protein	Tchem	drug_central
UniProtKB:P37268	FDFT1	biolink:Protein	Tchem	drug_central
DrugCentral:179	amisulpride	biolink:Drug		drug_central
UniProtKB:P34969	HTR7	biolink:Protein	Tclin	drug_central
DrugCentral:180	amitriptyline	biolink:Drug		drug_central
UniProtKB:Q15858	SCN9A	biolink:Protein	Tclin	drug_central
UniProtKB:Q99250	SCN2A	biolink:Protein	Tclin	drug_central
UniProtKB:O15244	SLC22A2	biolink:Protein	Tchem	drug_central
UniProtKB:Q9H3N8	HRH4	biolink:Protein	Tchem	drug_central
UniProtKB:Q06278	AOX1	biolink:Protein	Tbio	drug_central
UniProtKB:P21918	DRD5	biolink:Protein	Tchem	drug_central
UniProtKB:P08908	HTR1A	biolink:Protein	Tclin	drug_central
UniProtKB:P04629	NTRK1	biolink:Protein	Tclin	drug_central
UniProtKB:P07949	RET	biolink:Protein	Tclin	drug_central
DrugCentral:181	amitriptylinoxide	biolink:Drug		drug_central
DrugCentral:182	amlexanox	biolink:Drug		drug_central
UniProtKB:P27815	PDE4A	biolink:Protein	Tclin	drug_central
UniProtKB:Q07343	PDE4B	biolink:Protein	Tclin	drug_central
UniProtKB:Q08493	PDE4C	biolink:Protein	Tclin	drug_central
UniProtKB:Q08499	PDE4D	biolink:Protein	Tclin	drug_central
UniProtKB:Q14164	IKBKE	biolink:Protein	Tchem	drug_central
UniProtKB:Q9UHD2	TBK1	biolink:Protein	Tchem	drug_central
DrugCentral:183	amlodipine	biolink:Drug		drug_central
UniProtKB:Q06432	CACNG1	biolink:Protein	Tbio	drug_central
UniProtKB:O95069	KCNK2	biolink:Protein	Tclin	drug_central
UniProtKB:P54289	CACNA2D1	biolink:Protein	Tclin	drug_central
DrugCentral:186	amodiaquine	biolink:Drug		drug_central
UniProtKB:Q9Y251	HPSE	biolink:Protein	Tchem	drug_central
UniProtKB:P50135	HNMT	biolink:Protein	Tchem	drug_central
DrugCentral:191	amoxapine	biolink:Drug		drug_central
UniProtKB:Q9Y345	SLC6A5	biolink:Protein	Tchem	drug_central
DrugCentral:192	amoxicillin	biolink:Drug		drug_central
DrugCentral:193	amperozide	biolink:Drug		drug_central
UniProtKB:O00519	FAAH	biolink:Protein	Tchem	drug_central
DrugCentral:195	amfetamine	biolink:Drug		drug_central
UniProtKB:Q96RJ0	TAAR1	biolink:Protein	Tclin	drug_central
UniProtKB:Q16568	CARTPT	biolink:Protein	Tbio	drug_central
DrugCentral:198	ampicillin	biolink:Drug		drug_central
UniProtKB:Q02763	TEK	biolink:Protein	Tclin	drug_central
DrugCentral:200	amprenavir	biolink:Drug		drug_central
UniProtKB:P07339	CTSD	biolink:Protein	Tchem	drug_central
DrugCentral:201	amrinone	biolink:Drug		drug_central
UniProtKB:Q14432	PDE3A	biolink:Protein	Tclin	drug_central
UniProtKB:Q13370	PDE3B	biolink:Protein	Tclin	drug_central
DrugCentral:203	amsacrine	biolink:Drug		drug_central
UniProtKB:Q969P6	TOP1MT	biolink:Protein	Tclin	drug_central
UniProtKB:P11388	TOP2A	biolink:Protein	Tclin	drug_central
UniProtKB:Q02880	TOP2B	biolink:Protein	Tchem	drug_central
UniProtKB:P11387	TOP1	biolink:Protein	Tclin	drug_central
DrugCentral:209	anagrelide	biolink:Drug		drug_central
UniProtKB:O00408	PDE2A	biolink:Protein	Tclin	drug_central
DrugCentral:210	anastrozole	biolink:Drug		drug_central
DrugCentral:213	androisoxazole	biolink:Drug		drug_central
UniProtKB:P10275	AR	biolink:Protein	Tclin	drug_central
DrugCentral:214	androstenediol	biolink:Drug		drug_central
UniProtKB:P03372	ESR1	biolink:Protein	Tclin	drug_central
UniProtKB:Q92731	ESR2	biolink:Protein	Tclin	drug_central
DrugCentral:215	androstenedione	biolink:Drug		drug_central
UniProtKB:P37058	HSD17B3	biolink:Protein	Tchem	drug_central
DrugCentral:217	anecortave	biolink:Drug		drug_central
UniProtKB:P05121	SERPINE1	biolink:Protein	Tchem	drug_central
DrugCentral:219	anhydrovinblastine	biolink:Drug		drug_central
UniProtKB:P68371	TUBB4B	biolink:Protein	Tclin	drug_central
UniProtKB:Q5T3U5	ABCC10	biolink:Protein	Tbio	drug_central
UniProtKB:P33527	ABCC1	biolink:Protein	Tchem	drug_central
UniProtKB:Q92887	ABCC2	biolink:Protein	Tbio	drug_central
DrugCentral:220	anileridine	biolink:Drug		drug_central
DrugCentral:222	anisindione	biolink:Drug		drug_central
UniProtKB:P38435	GGCX	biolink:Protein	Tclin	drug_central
DrugCentral:223	octatropine methylbromide	biolink:Drug		drug_central
DrugCentral:224	antazoline	biolink:Drug		drug_central
DrugCentral:226	dithranol	biolink:Drug		drug_central
UniProtKB:O75342	ALOX12B	biolink:Protein	Tbio	drug_central
DrugCentral:228	apomorphine	biolink:Drug		drug_central
UniProtKB:O75762	TRPA1	biolink:Protein	Tclin	drug_central
UniProtKB:P34949	MPI	biolink:Protein	Tchem	drug_central
DrugCentral:229	apraclonidine	biolink:Drug		drug_central
DrugCentral:230	aprepitant	biolink:Drug		drug_central
UniProtKB:P29371	TACR3	biolink:Protein	Tchem	drug_central
UniProtKB:P25103	TACR1	biolink:Protein	Tclin	drug_central
DrugCentral:231	aprindine	biolink:Drug		drug_central
UniProtKB:P32418	SLC8A1	biolink:Protein	Tbio	drug_central
UniProtKB:P25786	PSMA1	biolink:Protein	Tclin	drug_central
UniProtKB:P0DP23	CALM1	biolink:Protein	Tclin	drug_central
UniProtKB:P0DP24	CALM2	biolink:Protein	Tclin	drug_central
UniProtKB:P0DP25	CALM3	biolink:Protein	Tclin	drug_central
DrugCentral:234	aranidipine	biolink:Drug		drug_central
DrugCentral:237	arbutamine	biolink:Drug		drug_central
DrugCentral:239	argatroban	biolink:Drug		drug_central
UniProtKB:P00734	F2	biolink:Protein	Tclin	drug_central
UniProtKB:P00742	F10	biolink:Protein	Tclin	drug_central
DrugCentral:242	aripiprazole	biolink:Drug		drug_central
UniProtKB:P47898	HTR5A	biolink:Protein	Tchem	drug_central
UniProtKB:P28566	HTR1E	biolink:Protein	Tchem	drug_central
